pixel_0,pixel_1,pixel_2,pixel_3,pixel_4,pixel_5,pixel_6,pixel_7,pixel_8,pixel_9,pixel_10,pixel_11,pixel_12,pixel_13,pixel_14,pixel_15,pixel_16,pixel_17,pixel_18,pixel_19,pixel_20,pixel_21,pixel_22,pixel_23,pixel_24,pixel_25,pixel_26,pixel_27,pixel_28,pixel_29,pixel_30,pixel_31,pixel_32,pixel_33,pixel_34,pixel_35,pixel_36,pixel_37,pixel_38,pixel_39,pixel_40,pixel_41,pixel_42,pixel_43,pixel_44,pixel_45,pixel_46,pixel_47,pixel_48,pixel_49,pixel_50,pixel_51,pixel_52,pixel_53,pixel_54,pixel_55,pixel_56,pixel_57,pixel_58,pixel_59,pixel_60,pixel_61,pixel_62,pixel_63,pixel_64,pixel_65,pixel_66,pixel_67,pixel_68,pixel_69,pixel_70,pixel_71,label
1.0,1.0,0.9808378,0.8163631,1.0,0.6193409,0.64745677,1.0,0.14124525,0.35283995,1.0,0.9584675,1.0,0.3428404,0.5527377,0.946025,0.0,1.0,0.4581545,0.08276343,0.95498717,0.6777116,0.098768875,0.98014647,0.36026555,0.0,1.0,0.532192,0.0,0.93824375,0.74687177,0.040748183,1.0,1.0,0.0,0.708129,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.117345445,0.9312497,0.8469533,0.029890122,0.5909195,0.7077685,0.43367982,0.9279812,1.0,0.0,1.0,0.7040396,0.0907291,0.97962457,0.74144644,0.0,1.0,0.79217166,0.40959513,0.0,0.0,0.8472794,0.80489564,1.0,1.0,1.0,1.0,0.5166372,1.0,0
0.50939286,0.53796893,0.47628516,0.67547095,0.5649454,1.0,0.9480031,0.67133653,0.0,0.0,1.0,1.0,1.0,0.29922715,0.61181283,1.0,0.16297802,1.0,1.0,0.72135216,0.58111703,1.0,0.0,1.0,0.7337034,0.2955847,1.0,0.7147474,0.03124134,1.0,0.889395,0.0,1.0,1.0,0.2704966,1.0,0.41285378,0.0,1.0,0.67623496,0.0,0.75916135,0.7124257,0.17841424,1.0,1.0,0.0,0.59408516,0.8407915,0.57655984,0.87502444,1.0,0.0,0.99693877,0.7771635,0.0,1.0,0.6533986,0.0,0.84629554,1.0,1.0,0.09470033,0.6086763,0.58794546,0.7912739,1.0,0.4748792,0.70574045,1.0,0.84447545,1.0,0
0.9265767,0.80626136,0.0,1.0,1.0,0.84393615,0.6658821,1.0,0.0,0.059549667,1.0,1.0,1.0,0.0,1.0,0.93811953,0.0,1.0,1.0,0.18088813,1.0,0.8961354,1.0,1.0,0.9821958,0.00021741445,0.8381591,0.9296655,0.27014807,1.0,1.0,0.19749984,1.0,0.66938037,0.061402127,1.0,1.0,0.0,0.6444361,1.0,0.50521576,1.0,0.8999883,0.41945636,1.0,1.0,0.23256408,0.8944467,1.0,0.025421366,1.0,1.0,0.0,1.0,0.8235701,0.0,0.7278236,1.0,0.25846145,0.8292339,1.0,1.0,0.20341446,0.11064979,1.0,0.76853895,1.0,1.0,1.0,1.0,1.0,1.0,0
0.7578099,1.0,1.0,0.86785316,0.913199,0.63074124,0.80753714,1.0,0.5818614,0.0,0.0,1.0,1.0,0.0,1.0,0.8995286,0.0,1.0,1.0,0.0,0.90052223,1.0,0.0,1.0,0.7405777,0.0,1.0,0.66895556,0.572646,0.7600752,0.7904705,0.0,1.0,0.56318074,0.05634618,1.0,1.0,0.0,0.90755856,0.75095546,0.0,0.90485126,1.0,0.0,0.0,1.0,0.0,0.15127349,1.0,0.28089857,0.85912204,0.5603486,0.0,1.0,0.8722897,0.0,1.0,0.9184902,0.050745957,1.0,1.0,0.53777975,0.0,0.0,1.0,1.0,0.8559778,0.87591195,1.0,0.75036645,0.64391685,1.0,0
0.762175,1.0,0.0,0.015347328,1.0,0.5951082,0.7559247,0.0,0.7824714,1.0,0.0,0.8432712,0.982923,0.0,0.86375797,1.0,0.0,1.0,0.5490285,0.0,1.0,1.0,0.0,0.7830461,0.57022536,0.65155494,0.9356776,1.0,0.19542618,0.45933247,1.0,0.0,0.79556906,0.7054064,0.0,0.54289484,0.67921543,0.0,1.0,0.99868983,0.0,1.0,0.71465236,0.23800378,0.7900651,0.6834272,0.0,1.0,1.0,0.0,0.641932,0.8421052,0.0,0.8641372,0.5876008,0.3421002,1.0,0.45560572,0.0,1.0,0.9802972,1.0,0.81451386,0.4975499,1.0,1.0,1.0,0.94659644,0.79971915,1.0,1.0,0.84992087,0
1.0,0.9529626,1.0,1.0,1.0,0.8054542,1.0,1.0,1.0,0.48471075,0.8772427,0.0,1.0,0.0,0.0,0.0,0.14323537,1.0,0.47405392,0.0,0.92865646,1.0,0.0,0.9336184,0.8456576,0.0,1.0,1.0,0.11010485,1.0,0.92813313,0.0,0.667426,0.7492002,0.25239113,1.0,0.8436418,0.19187748,0.94593745,1.0,0.0,0.6025516,1.0,0.0,1.0,0.78447306,0.0,0.86798036,1.0,0.10745571,0.72287375,0.8899146,0.0,1.0,1.0,0.0,1.0,1.0,0.20802915,1.0,0.85851467,1.0,0.0,0.0,1.0,0.91418576,0.59222007,0.9062448,1.0,1.0,1.0,0.5724175,0
1.0,0.8929168,0.0,0.0,1.0,1.0,1.0,0.11971094,1.0,1.0,0.0,0.7432102,0.5116998,0.0,0.84050244,1.0,0.0,0.6585121,0.9134036,0.0,1.0,1.0,0.0,0.7808818,1.0,0.1419139,1.0,1.0,0.09579403,1.0,1.0,0.25284213,1.0,1.0,0.0,0.4697532,0.8355622,0.041184068,1.0,1.0,1.0,0.5716505,0.0,0.47282553,0.8393642,0.6716941,0.0,1.0,0.88114184,0.1409684,0.9973754,1.0,0.042965975,1.0,1.0,0.85609,0.06727303,0.37229198,0.6242943,0.99727434,0.0,0.83476096,0.44389313,0.7444246,0.0,1.0,0.72875154,1.0,1.0,0.0,0.60032314,0.91951686,0
1.0,0.9520912,0.9307399,0.5968117,0.0,1.0,1.0,0.9750221,0.07878834,0.0,1.0,0.7544454,0.9283458,0.056096576,0.76009965,0.8016667,0.19581476,1.0,0.89254946,0.04089019,0.43405068,1.0,0.0,1.0,1.0,0.30652636,1.0,0.7284186,0.58751625,1.0,0.0,0.4345735,1.0,1.0,0.0,0.8073356,0.96633315,0.0,0.7001673,1.0,0.3131703,1.0,0.24140704,0.0,0.6180457,0.88581276,0.0,0.68968093,0.6143416,1.0,1.0,1.0,0.0,0.73750305,0.94774354,0.50583076,1.0,1.0,0.6097639,1.0,0.0044057965,0.97183275,0.17676197,0.084246755,0.9838249,0.47377354,1.0,0.89908576,1.0,0.99829835,1.0,0.96244484,0
1.0,1.0,0.6235993,0.8698434,1.0,1.0,1.0,1.0,0.43303168,0.0,1.0,1.0,0.89925116,0.0,1.0,0.6785734,0.0,0.7959031,0.83339775,0.27327454,1.0,1.0,0.0,0.9002191,1.0,0.0,0.954831,1.0,1.0,1.0,0.8273405,0.22885676,0.9351377,1.0,0.0,0.0,0.84639084,0.0,0.86233133,1.0,0.42517355,0.48770052,0.90996265,0.0,0.92547286,1.0,0.0,0.7093793,1.0,0.0,1.0,0.34792602,0.27836722,1.0,0.95867693,0.14927115,0.7477923,0.8495621,0.0,0.5895133,1.0,0.9091775,0.015610616,0.0,0.66231,0.70092165,1.0,1.0,1.0,1.0,0.6594111,0.73000574,0
0.8998977,0.0,1.0,0.7404858,1.0,0.8912949,1.0,1.0,0.39761102,0.0,1.0,0.6069964,1.0,0.0,1.0,0.7653814,0.303629,0.8015592,0.8529692,0.0,0.6586592,1.0,0.0,1.0,0.8766686,0.25332993,1.0,0.48930794,0.0,0.9844589,0.7353265,0.0031202943,1.0,0.7087578,0.10873562,0.56774974,0.8365247,0.0,0.96883905,0.4734649,0.0,1.0,0.790896,0.0,1.0,0.60110164,0.0,0.8190262,0.7898214,0.31116897,1.0,1.0,0.0,1.0,0.45023817,0.0,0.55952483,0.9206799,0.517376,1.0,0.81909835,1.0,0.22501676,0.41657636,1.0,0.95651037,0.7530397,0.80604666,1.0,0.76936656,0.9110704,1.0,0
